Data,Vazao,Precipitacao
1976-04,37.54347333333333,14.18
1976-05,36.789767741935485,73.48
1976-06,30.45892,5.56
1976-07,34.012903225806454,49.65
1976-08,34.45385483870968,54.76
1976-09,46.97182333333333,182.76
1976-10,81.85197741935482,184.04
1976-11,78.90558333333334,188.47
1976-12,137.53712903225806,305.75
1977-01,120.10493225806451,250.48
1977-02,79.93275000000001,10.72
1977-03,56.66553548387097,122.56
1977-04,57.83459333333334,73.13
1977-05,37.65632258064516,10.58
1977-06,36.990300000000005,6.9399999999999995
1977-07,30.96323870967742,1.1600000000000001
1977-08,26.637632258064517,1.8399999999999999
1977-09,31.978833333333334,83.75
1977-10,28.002554838709678,44.27
1977-11,70.45397,248.98
1977-12,104.00760967741935,258.91
1978-01,141.27580322580644,237.73000000000002
1978-02,91.91894642857143,222.74
1978-03,65.21476129032258,116.92
1978-04,55.08120666666667,65.36
1978-05,55.592529032258064,96.18
1978-06,52.28155666666667,4.66
1978-07,48.49376129032258,51.89
1978-08,38.69210322580645,14.86
1978-09,37.295676666666665,29.66
1978-10,45.75654838709677,163.37
1978-11,71.48308333333333,250.86
1978-12,111.4332,217.96
1979-01,177.27434827586205,396.7
1979-02,330.9878888888889,448.67
1979-03,176.84212903225804,121.87
1979-04,123.69823333333333,77.31
1979-05,98.96085483870968,44.78
1979-06,82.43686,0.11
1979-07,72.50654193548387,26.080000000000002
1979-08,64.20470322580645,47.24
1979-09,66.94628333333334,75.52
1979-10,52.972887096774194,82.96000000000001
1979-11,79.18176666666666,208.03
1979-12,117.65498387096774,318.63
1980-01,186.4720322580645,354.25
1980-02,116.66936896551725,118.34
1980-03,72.90944838709677,29.02
1980-04,92.26581,154.62
1980-05,63.01356129032258,14.940000000000001
1980-06,58.16314666666666,41.08
1980-07,49.27247096774194,0.1
1980-08,42.2206064516129,19.0
1980-09,39.553493333333336,22.41
1980-10,39.697238709677414,58.339999999999996
1980-11,57.28622333333333,164.78
1980-12,86.13222903225807,369.25
1981-01,113.26515483870968,253.65
1981-02,87.43984642857143,103.74
1981-03,96.84894516129033,240.04
1981-04,63.962689999999995,52.69
1981-05,56.47004193548387,21.68
1981-06,53.27685333333333,37.36
1981-07,42.151922580645156,3.1700000000000004
1981-08,41.14475483870968,40.69
1981-09,33.90154,26.48
1981-10,54.41595483870968,194.74
1981-11,97.68643,288.89
1981-12,127.24754193548387,288.59
1982-01,146.73974193548386,332.59999999999997
1982-02,94.30858214285715,103.33
1982-03,179.65474193548386,350.93
1982-04,106.28799666666667,26.86
1982-05,80.40474838709677,19.32
1982-06,70.22353,21.630000000000003
1982-07,58.417551612903225,16.8
1982-08,53.290045161290315,12.91
1982-09,45.20151333333333,15.68
1982-10,60.742622580645154,168.24
1982-11,54.40881,134.52
1982-12,111.54418387096774,364.0
1983-01,213.22477419354837,358.47
1983-02,138.121425,243.3
1983-03,147.95348387096774,260.1
1983-04,133.26796666666667,148.95000000000002
1983-05,91.53197096774194,74.2
1983-06,90.78610666666667,56.480000000000004
1983-07,71.50978709677419,34.47
1983-08,59.351000000000006,6.64
